Month,p05,p25,p50,p75,p95
266,3591650.603998792,8427789.554789837,14330444.729433525,23839167.007295556,70014002.37362912
267,3557685.4386040308,8479082.37439361,14465643.111715723,24092075.9659392,70014002.37362912
268,3611273.9408076066,8543423.834486257,14605099.408469632,24426937.05961389,70014002.37362912
269,3652479.845025821,8687972.901445987,14696015.250076126,24635840.74218433,70014002.37362912
270,3708068.8964919634,8748568.509289047,14835603.534129683,24765234.417083442,70014002.37362912
271,3691450.077811356,8883278.900661672,15005286.255056448,25003838.82304717,70014002.37362912
272,3704747.9543164195,8944857.559814557,15262328.866836887,25246107.161539897,70014002.37362912
273,3733024.0209013214,8964667.086461024,15394281.472460076,25540535.511065546,70014002.37362912
274,3826093.483581743,9068971.718640305,15568134.598444968,25603410.55111111,70014002.37362912
275,3863634.2807265953,9136951.517715815,15660215.866106462,25884076.15502005,70014002.37362912
276,3850213.434527452,9190920.253444966,15931824.818246897,26338581.260953758,70014002.37362912
277,3870571.2803481165,9246328.478436429,16071505.850816656,26700879.832184635,70014002.37362912
278,3879464.608351828,9344224.374709323,16173771.211572966,26959116.029938474,70014002.37362912
279,3918402.397883304,9481545.798978835,16387598.844597114,27216754.592024907,70014002.37362912
280,3941905.007095345,9587906.718897454,16618964.375666674,27631799.019597463,70014002.37362912
281,3967843.425066074,9694917.203705752,16752393.178302955,27980720.520045,70014002.37362912
282,3987393.7888765507,9787475.352611724,16937304.864421137,28160177.132354,70014002.37362912
283,4040231.169184749,9850229.12370408,17095697.772370793,28482981.33101684,70014002.37362912
284,4081236.6622048886,9956339.088077493,17389315.9390963,28798669.50890877,70014002.37362912
285,4112786.084300098,10015452.890255816,17538842.00714185,29031935.370429162,70014002.37362912
286,4134883.9857949973,10163434.334125744,17721072.31592705,29445375.309670005,70014002.37362912
287,4119136.5117649715,10284333.800174562,17853017.218825355,29683851.230432868,70014002.37362912
288,4200692.867419009,10415493.449380888,18118217.84466125,30044759.877817854,70014002.37362912
289,4172145.2506172187,10469711.908899462,18196773.373417117,30398920.280467167,70014002.37362912
290,4222767.104753294,10587168.350892035,18356873.13684261,30962315.54838971,70014002.37362912
